A caricia essencial 		-http://adf.ly/1ZMP5t 
A carta furtada			-http://adf.ly/1ZMPPx
A carteira			-http://adf.ly/1ZMPSC
A casa Atreides			-http://adf.ly/1ZMPVp
A casa da floresta		-http://adf.ly/1ZMPXc
A casa do penhasco		-http://adf.ly/1ZMPaK
A casa dos espiritos		-http://adf.ly/1ZMPc7
A casa negra			-http://adf.ly/1ZMPeA
A cidade das sombras		-http://adf.ly/1ZMPgV
A cidade do sol			-http://adf.ly/1ZMPjc
A cidade dos deuses selvagens	-http://adf.ly/1ZMPn2
A ciencia de ficar rico		-http://adf.ly/1ZMPol
A ciencia médica de house	-http://adf.ly/1ZMPqU
A conspiração franciscana	-http://adf.ly/1ZMPvX
A cor púrpura			-http://adf.ly/1ZMPxs
A cruzada do ouro		-http://adf.ly/1ZMQ06
A culpa é das estrelas		-http://adf.ly/1ZMQ29
A dalia azul			-http://adf.ly/1ZMQ4U
A dança da floresta		-http://adf.ly/1ZMQ6W
A dança da morte		-http://adf.ly/1ZMQ8K
